pmid,supp_up,bc,tfidf,supp_down
34527571,3,0.020432644341993222,0.0,3
36428723,3,0.019562767576168476,0.0,3
31186375,2,0.13530117737492134,0.0,2
38438175,2,0.13213297650753023,0.0,2
37751166,2,0.11085568293162137,0.0,2
33793008,2,0.1069647905060959,0.0,2
35656849,2,0.10179220634263231,0.0,2
40215804,2,0.09766323911888285,0.0,2
37101417,2,0.07423548345262067,0.0,2
39615611,2,0.06238496194603871,0.0,2
37068415,2,0.05980627561717109,0.0,2
39364314,2,0.04890691894042119,0.0,2
36746507,2,0.043130288351859385,0.0,2
36756380,2,0.043130288351859385,0.0,2
37010330,2,0.043130288351859385,0.0,2
36739613,2,0.04095640426796985,0.0,2
36077609,2,0.0367120711663156,0.0,2
39193382,2,0.0276659312237701,0.0,2
40558298,2,0.023593585422211343,0.0,2
29995239,1,0.17034335626819877,0.0,1
36088040,1,0.1468293986405344,0.0,1
37318272,1,0.11954888350681307,0.0,1
36013217,1,0.11526153842651121,0.0,1
40561675,1,0.1095424829553167,0.0,1
32037289,1,0.10882044593655069,0.0,1
36359447,1,0.10873382715127741,0.0,1
30029961,1,0.10374724208913787,0.0,1
33291658,1,0.1021632217099661,0.0,1
35128854,1,0.09643472179828325,0.0,1
38473269,1,0.09520973517298709,0.0,1
34297164,1,0.09035655300955962,0.0,1
33712263,1,0.0885820815096133,0.0,1
35778306,1,0.08794661062612705,0.0,1
33604759,1,0.08731655816693489,0.0,1
34022489,1,0.08668836823077809,0.0,1
37929250,1,0.08638684255813601,0.0,1
38021155,1,0.08628906454993951,0.0,1
37014376,1,0.08478289668152404,0.0,1
38343262,1,0.08365391292241432,0.0,1
40586816,1,0.08146195748106923,0.0,1
35148470,1,0.07974170082289478,0.0,1
31648773,1,0.07745823252571624,0.0,1
30718308,1,0.07684102561767414,0.0,1
34137929,1,0.07662241628247458,0.0,1
39276192,1,0.07596029709246443,0.0,1
38473283,1,0.07446856246711635,0.0,1
35752305,1,0.07394031137528516,0.0,1
34573942,1,0.0734146993202672,0.0,1
33713972,1,0.07302832197021113,0.0,1
39569550,1,0.07302832197021113,0.0,1
31328464,1,0.07244641371678213,0.0,1
31840873,1,0.07241581332947537,0.0,1
40335530,1,0.07241581332947537,0.0,1
38042117,1,0.07187819777741403,0.0,1
33908709,1,0.07078075626663402,0.0,1
38791948,1,0.07066518125623397,0.0,1
32337640,1,0.0704376068162013,0.0,1
32681608,1,0.06872870269676885,0.0,1
34182801,1,0.06818964572540426,0.0,1
33871110,1,0.06804919316490228,0.0,1
32844525,1,0.06776741475716973,0.0,1
34718651,1,0.06776741475716973,0.0,1
37925611,1,0.06776741475716973,0.0,1
38342655,1,0.06721420211709894,0.0,1
35625496,1,0.06709973921569282,0.0,1
38056021,1,0.06684536615028497,0.0,1
39313384,1,0.06654628023775663,0.0,1
37174070,1,0.06595995796959528,0.0,1
37312525,1,0.06588834796262952,0.0,1
30630889,1,0.06520922525389493,0.0,1
33403030,1,0.06501627617308357,0.0,1
38775501,1,0.06403418801472846,0.0,1
38302726,1,0.062248345253482724,0.0,1
37332155,1,0.062187644756107316,0.0,1
37888330,1,0.0614545624221017,0.0,1
38182443,1,0.06127491897109455,0.0,1
33205640,1,0.06099543873626187,0.0,1
29215821,1,0.06061301842258156,0.0,1
36238403,1,0.06050570700453203,0.0,1
31081311,1,0.06046329480546234,0.0,1
39906656,1,0.05989849814784502,0.0,1
39402160,1,0.05980627561717109,0.0,1
34111974,1,0.05893232998783976,0.0,1
35225474,1,0.058688302728505434,0.0,1
34414964,1,0.057792245487185395,0.0,1
33808691,1,0.057630769213255606,0.0,1
40190927,1,0.057630769213255606,0.0,1
31435773,1,0.05652193112101603,0.0,1
34422589,1,0.05652193112101603,0.0,1
35626067,1,0.056472845630974766,0.0,1
32377553,1,0.05590526493798869,0.0,1
40247746,1,0.05590526493798869,0.0,1
28594645,1,0.05477124147765835,0.0,1
33807168,1,0.05477124147765835,0.0,1
36980790,1,0.054334810287586605,0.0,1
37815156,1,0.05425735506604602,0.0,1
34356280,1,0.05229907087329081,0.0,1
33847427,1,0.05175821796269961,0.25192996515283883,1
37320880,1,0.051672169328025194,0.0,1
38489719,1,0.05056821480128722,0.0,1
37655105,1,0.05033637200286866,0.0,1
39198759,1,0.05013402461271372,0.0,1
34746002,1,0.05000318908059131,0.0,1
35530346,1,0.0496695107976835,0.0,1
37573036,1,0.049558793973212764,0.0,1
35795035,1,0.04883161955944142,0.0,1
32749583,1,0.04791879851827602,0.0,1
38836884,1,0.04791879851827602,0.0,1
39219071,1,0.04791879851827602,0.0,1
36661732,1,0.04781266594385708,0.0,1
37564444,1,0.047625714432416845,0.0,1
