cluster_id,seeds,kept_tfidf,kept_emb,depth_tfidf,depth_emb,final_cohesion_tfidf,final_cohesion_emb,jaccard_similarity
8,12,668,834,10,12,0.030498092718528488,0.5475559234619141,0.16222391469916222
4,8,815,788,12,10,0.049529247866986204,0.4544309377670288,0.31305758313057586
