cluster_id,seeds,total_title_only,depth_title_only,time_title_only,total_snippet,depth_snippet,time_snippet,intersection,jaccard_similarity
8,12,894,13,52.8578,1196,15,77.8089,524,0.3346
4,8,826,12,54.3106,848,11,54.6949,466,0.3858
