cluster_id,seeds,total_title_only,depth_title_only,time_title_only,total_snippet,depth_snippet,time_snippet,intersection,jaccard_similarity
8,12,653,10,40.5605,593,12,39.7141,395,0.4642
4,8,807,14,48.6339,751,10,49.1875,562,0.5643
