cluster_id,seeds,total_kept,depth_reached,kept_d1,final_cohesion,drift_slope,median_year_slope
8,12,72,5,19,,,
13,31,34,4,19,,,
16,5,37,4,19,,,1.0
4,8,66,4,14,,,
6,11,23,4,11,,-0.250703334522541,
14,5,12,4,5,,-0.07486683704438948,1.0
15,6,7,4,2,,,2.25
18,8,47,3,30,,,
17,6,30,3,22,,,
10,6,11,3,8,,,
7,4,6,3,5,,,
3,6,4,3,3,,,
12,4,4,3,2,,,
9,4,7,2,7,,,
11,12,5,2,5,,,
2,6,3,2,3,,,
0,4,0,1,0,,,
1,4,0,1,0,,,
5,4,0,1,0,,,
